8位,力士,孤?,00:29.70,2019.10.19 10:33:37,2019.10.22,第一週
8位,乾坤士,Lukaaaa,00:37.0,2019.10.17 12:36:44,2019.10.22,第一週
8位,刺客,鬼迷神疑?,00:40.70,2019.10.17 01:14:10,2019.10.22,第一週
9位,劍士,你了解我的明白嗎,00:11.20,2019.10.18 22:42:13,2019.10.22,第一週
9位,拳士,擋我一百招,00:14.70,2019.10.22 05:59:51,2019.10.22,第一週
9位,鬥士,太乂白癡,00:15.0,2019.10.22 01:37:36,2019.10.22,第一週
9位,咒術師,上官湘玲,00:17.0,2019.10.21 02:35:43,2019.10.22,第一週
9位,氣功士,昊晟,00:17.80,2019.10.21 21:45:45,2019.10.22,第一週
9位,槍擊士,?小肥袋,00:20.30,2019.10.18 12:25:36,2019.10.22,第一週
9位,召喚師,紗兒的小豬豬,00:24.30,2019.10.19 22:07:34,2019.10.22,第一週
9位,燐劍士,?幻熾,00:28.20,2019.10.22 00:08:45,2019.10.22,第一週
9位,力士,人彘?,00:30.0,2019.10.21 21:35:16,2019.10.22,第一週
9位,弓箭手,?緋雨,00:31.10,2019.10.20 22:34:24,2019.10.22,第一週
9位,刺客,冷月無痕,00:40.70,2019.10.17 01:26:23,2019.10.22,第一週
9位,乾坤士,青蘋芙姬,00:43.20,2019.10.21 10:58:48,2019.10.22,第一週
10位,劍士,望月飛揚,00:11.30,2019.10.17 20:31:34,2019.10.22,第一週
10位,拳士,川榷,00:15.20,2019.10.16 20:28:50,2019.10.22,第一週
10位,鬥士,?洛,00:17.30,2019.10.21 22:58:41,2019.10.22,第一週
10位,咒術師,六?御息所,00:17.90,2019.10.22 05:03:31,2019.10.22,第一週
10位,槍擊士,玖伊,00:20.30,2019.10.20 02:09:09,2019.10.22,第一週
10位,召喚師,?艾比醬,00:24.30,2019.10.22 02:25:06,2019.10.22,第一週
10位,氣功士,?小肥鏡,00:25.70,2019.10.19 23:25:41,2019.10.22,第一週
10位,燐劍士,鮮奶茶?,00:28.30,2019.10.19 18:05:15,2019.10.22,第一週
10位,力士,黑雪幸,00:30.10,2019.10.20 10:37:09,2019.10.22,第一週
10位,弓箭手,哈庫菈瑪躂躂,00:32.80,2019.10.22 01:01:21,2019.10.22,第一週
10位,刺客,宇佐見蓮子,00:42.70,2019.10.22 01:01:33,2019.10.22,第一週
10位,乾坤士,克克星,00:44.20,2019.10.19 14:53:39,2019.10.22,第一週
11位,劍士,月孤痕,00:11.30,2019.10.18 22:11:12,2019.10.22,第一週
11位,拳士,金木涼,00:15.60,2019.10.20 22:25:00,2019.10.22,第一週
11位,鬥士,侍乂,00:17.80,2019.10.16 21:59:30,2019.10.22,第一週
11位,咒術師,?妍,00:18.50,2019.10.20 18:04:09,2019.10.22,第一週
11位,槍擊士,Chu?玉米棒,00:23.10,2019.10.18 14:09:04,2019.10.22,第一週
11位,召喚師,蘿水三千只取一瓢飲,00:25.50,2019.10.20 17:17:46,2019.10.22,第一週
11位,氣功士,o寒江雪o,00:27.10,2019.10.19 21:20:49,2019.10.22,第一週
11位,燐劍士,來砍我?,00:29.90,2019.10.17 21:02:57,2019.10.22,第一週
11位,力士,出手不留情,00:31.40,2019.10.17 01:04:07,2019.10.22,第一週
11位,弓箭手,東京靄靄斜陽云,00:33.10,2019.10.22 01:08:31,2019.10.22,第一週
11位,刺客,戕納,00:43.0,2019.10.20 16:52:54,2019.10.22,第一週
11位,乾坤士,凌紅兒,00:45.60,2019.10.16 22:04:27,2019.10.22,第一週
12位,劍士,BestJnK,00:11.50,2019.10.19 15:23:04,2019.10.22,第一週
12位,拳士,Zhengge117,00:17.90,2019.10.21 11:27:35,2019.10.22,第一週
12位,咒術師,咚踏取蜜,00:19.40,2019.10.19 02:17:00,2019.10.22,第一週
12位,鬥士,雅卡緹亞,00:19.50,2019.10.18 16:10:56,2019.10.22,第一週
12位,槍擊士,?小肥?,00:25.0,2019.10.17 02:04:33,2019.10.22,第一週
12位,召喚師,幸福伴身旁,00:25.60,2019.10.20 09:20:07,2019.10.22,第一週
12位,氣功士,優媞奈,00:29.50,2019.10.17 21:07:05,2019.10.22,第一週
12位,燐劍士,?秋白,00:31.10,2019.10.17 19:25:32,2019.10.22,第一週
12位,力士,西狼GOOD?桃,00:31.50,2019.10.17 02:28:35,2019.10.22,第一週
